fecha,hora,id_plato,plato,cantidad,precio_unitario,total
2026-08-01,18:15,P02,Perro Ranchero,1,16500,16500
2026-08-02,12:00,P15,Adición de Papa a la Francesa,1,6500,6500
2026-08-02,18:32,P14,Jugo Natural en Agua,1,7000,7000
2026-08-02,21:05,P13,Limonada de Coco,1,9000,9000
2026-08-03,12:31,P12,Gaseosa Personal 400ml,3,5500,16500
2026-08-03,13:32,P09,Hamburguesa Salchichera,1,24000,24000
2026-08-03,14:21,P07,Salchipapa Mixta Doble,1,23000,23000
2026-08-03,17:21,P01,Perro Señor Salchicha,1,14000,14000
2026-08-03,18:53,P09,Hamburguesa Salchichera,1,24000,24000
2026-08-03,19:08,P13,Limonada de Coco,1,9000,9000
2026-08-03,19:15,P05,Salchipapa Clásica,3,13000,39000
2026-08-04,12:13,P06,Salchipapa Señor Salchicha,1,19000,19000
2026-08-04,13:12,P07,Salchipapa Mixta Doble,1,23000,23000
2026-08-04,14:22,P09,Hamburguesa Salchichera,2,24000,48000
2026-08-04,14:36,P03,Perro Suizo,1,15500,15500
2026-08-04,21:08,P04,Perro Criollo con Chorizo,2,18000,36000
2026-08-05,11:15,P15,Adición de Papa a la Francesa,1,6500,6500
2026-08-05,12:24,P11,Choripán de la Casa,2,20000,40000
2026-08-05,13:48,P05,Salchipapa Clásica,1,13000,13000
2026-08-05,17:05,P12,Gaseosa Personal 400ml,2,5500,11000
2026-08-05,18:50,P11,Choripán de la Casa,1,20000,20000
2026-08-06,13:15,P13,Limonada de Coco,1,9000,9000
2026-08-06,13:55,P09,Hamburguesa Salchichera,3,24000,72000
2026-08-06,14:30,P03,Perro Suizo,1,15500,15500
2026-08-06,17:15,P02,Perro Ranchero,1,16500,16500
2026-08-06,18:16,P01,Perro Señor Salchicha,1,14000,14000
2026-08-06,18:47,P12,Gaseosa Personal 400ml,2,5500,11000
2026-08-06,20:01,P02,Perro Ranchero,2,16500,33000
2026-08-06,21:06,P08,Maíz Pira con Queso,2,11500,23000
2026-08-07,14:17,P13,Limonada de Coco,3,9000,27000
2026-08-07,14:49,P08,Maíz Pira con Queso,2,11500,23000
2026-08-07,18:34,P01,Perro Señor Salchicha,1,14000,14000
2026-08-07,19:43,P10,Hamburguesa Doble Tocineta,1,29000,29000
2026-08-08,12:01,P08,Maíz Pira con Queso,1,11500,11500
2026-08-08,19:41,P01,Perro Señor Salchicha,1,14000,14000
2026-08-08,20:12,P01,Perro Señor Salchicha,1,14000,14000
2026-08-08,21:07,P06,Salchipapa Señor Salchicha,2,19000,38000
2026-08-09,12:28,P08,Maíz Pira con Queso,1,11500,11500
2026-08-09,13:32,P05,Salchipapa Clásica,3,13000,39000
2026-08-09,14:13,P06,Salchipapa Señor Salchicha,1,19000,19000
